M 	 1.69910383224487 	 H 	 15000 	 alfa 	 4.21000194549561 	 Cya 	 0.0774313732981682
Xref 	 Seqsum 	 Sequ 	 Seqv 	 potsum 	 Withamsum@
-0.18270849343083 	 2.55976715379802e-008 	 4.27998934071638e-008 	 8.39546832054339e-009 	 0 	 0
-0.180366085909594 	 1.18790566716598e-007 	 2.80881181424775e-007 	 -4.33000337807243e-008 	 4.46646484092797e-011 	 1.91237763392568e-008
-0.178023646976161 	 2.62667725792198e-007 	 5.66374126265146e-007 	 -4.10386817861763e-008 	 8.95919557828439e-011 	 2.27613763111308e-008
-0.175681239454926 	 -2.30473276019438e-007 	 -4.9188616912943e-007 	 3.09396526176897e-008 	 1.5129820152386e-010 	 -1.81691184428821e-009
-0.17333883193369 	 4.83779283300123e-009 	 6.185195644548e-008 	 -5.21763645622286e-008 	 8.10800598438773e-011 	 -3.2643457417701e-008
-0.170996424412454 	 -1.83926616159624e-007 	 -3.91908400843022e-007 	 2.40551631947028e-008 	 -1.63035882487258e-012 	 -2.23090519708462e-008
-0.168653985479021 	 1.52520627239028e-007 	 3.32799885427448e-007 	 -2.77586291730358e-008 	 -2.3434423188761e-011 	 2.04271586199422e-009
-0.166311577957785 	 -6.59551435688854e-009 	 -3.16852606374596e-008 	 1.84942461345372e-008 	 7.93945133908653e-012 	 1.61065972590387e-008
-0.163969170436549 	 7.34471257146652e-008 	 1.27783280845506e-007 	 1.91109847946791e-008 	 5.20220059334182e-011 	 1.3629374037179e-008
-0.161626747209215 	 1.1107434971791e-007 	 2.03265898335303e-007 	 1.88828028768739e-008 	 7.17907619122279e-011 	 1.26010134187363e-008
-0.15928432398188 	 2.50897702613884e-009 	 4.61943677754206e-010 	 4.55602267024346e-009 	 1.11055818973417e-010 	 1.68858322713484e-008
-0.156941916460645 	 3.7118886098142e-007 	 7.84411611221003e-007 	 -4.20338572837409e-008 	 1.50898028152241e-010 	 3.20639103832367e-008
-0.15459949323331 	 1.27848153397281e-007 	 2.59686885328847e-007 	 -3.99059896238896e-009 	 2.61269812256205e-010 	 3.93687678434299e-008
-0.152257070005976 	 1.25300090303426e-007 	 3.43039346262231e-007 	 -9.24391514445233e-008 	 3.35334660608208e-010 	 1.65412139987257e-008
-0.14991466248474 	 1.39367841711646e-007 	 2.54182225489785e-007 	 2.45534081955157e-008 	 3.38762600216116e-010 	 -3.05907205450001e-009
-0.147572239257406 	 -2.56164014444948e-007 	 -5.04227955389069e-007 	 -8.100072612649e-009 	 3.21003425785194e-010 	 -3.79204264352581e-008
-0.14522983173617 	 -4.24748094474126e-007 	 -7.79010349560849e-007 	 -7.04858180711199e-008 	 1.61111820453323e-010 	 -6.98198039774135e-008
-0.142887408508835 	 2.49054011192129e-007 	 5.0291760089749e-007 	 -4.80965978155723e-009 	 -6.09053874733904e-012 	 -1.46780521983965e-008
-0.140545000987599 	 3.26545631423869e-007 	 6.77162233841955e-007 	 -2.40708981635862e-008 	 9.23476301851567e-011 	 6.49835932384256e-008
-0.138202577760265 	 2.32980951864192e-007 	 4.92345066049893e-007 	 -2.63831978486451e-008 	 2.9834659700862e-010 	 6.49169851665957e-008
-0.135860154532931 	 2.01671241484291e-007 	 4.02785929054517e-007 	 5.56556245534523e-010 	 3.96473737990662e-010 	 2.86078671991418e-008
-0.133517747011695 	 6.02514447223257e-008 	 1.32972601818437e-007 	 -1.24696963865745e-008 	 4.32369612914173e-010 	 -2.24093286480421e-010
-0.131175323784361 	 -1.55582327465709e-007 	 -2.87641341856215e-007 	 -2.35233201806295e-008 	 3.9542389887161e-010 	 -3.75272513767356e-008
-0.128832916263125 	 -3.44845830113627e-007 	 -7.10995607278164e-007 	 2.1303893760205e-008 	 2.56560791755117e-010 	 -6.1089251744294e-008
-0.12649049303579 	 8.18640444322227e-008 	 1.82679229965288e-007 	 -1.89511482062699e-008 	 1.09231093892793e-010 	 -3.55815447592126e-008
