110.011306632 1.720000029
264.069111349 1.892101725
274.069111349 1.892101725
306.945573615 1.940000057
507.887561303 1.870000005
712.892871674 0.070000000
922.303786932 -2.470000029
1136.294057244 -5.480000019
1354.972315794 -8.149999619
1578.794097292 -9.170000076
1808.126170113 -8.060000420
2043.231242578 -5.920000076
2284.271839122 -4.110000134
2784.999853527 -1.220000029
3313.484372482 1.690000057
3873.904155534 1.289999962
4475.652209706 -0.370000005
5129.752988833 2.000000000
5848.130339488 5.199999809
6647.135041427 7.099999905
7547.339478417 9.199999809
8582.825296359 9.399999619
9796.657357134 5.800000191
10495.413769647 3.299999952
11275.008417400 1.399999976
12157.334495425 1.600000024
13168.663080501 1.600000024
14352.640951837 -0.490000010
15803.422138650 -1.899999976
18131.083267562 -5.079999924
20327.803559773 -1.200000048
23641.283775938 -13.399999619
26290.938461472 -7.900000095
30856.856551044 -15.500000000
33249.909819871 -14.699999809
35538.874610588 -11.800000191
39105.817026739 -15.899999619
42034.604168203 -13.100000381
47240.459959191 -14.399999619
