Altitude       Temperature  Wind velocity(x)  Wind velocity(y)  Wind velocity(z)  Density
	   (m)	          (m/s)		    (m/s)		       (m/s)             (m/s)		(kg/m3)

	--------       -----------  ----------------  ----------------	-------@
	110.011306632	265.950006104	2.130000114	0	-1.720000029	1.1059913892469484
	264.069111349	264.854818407	2.654127813	0	-1.892101725	1.088800743412268
	266.069111349	264.854818407	2.654127813	0	-1.892101725	1.0885204456575366
	306.945573615	264.550012207	2.799999952	0	-1.940000057	1.0840517307681257
	507.887561303	262.950006104	7.369999886	0	-1.870000005	1.0626814053192914
	712.892871674	261.450006104	10.859999657	0	-0.07	1.040662629661225
	922.303786932	259.950006104	13.779999733	0	2.470000029	1.0183904523269367
	1136.294057244	258.249993896	15.720000267	0	5.480000019	0.9966306445835353
	1354.972315794	256.450006104	15.600000381	0	8.149999619	0.9749658149532894
	1578.794097292	254.950006104	14.06000042	0	9.170000076	0.9518655986849601
	1808.126170113	253.450006104	12.279999733	0	8.06000042	0.9284948256039222
	2043.231242578	251.749993896	10.850000381	0	5.920000076	0.9055667526627713
	2284.271839122	249.749993896	10.029999733	0	4.110000134	0.883385869477907
	2784.999853527	245.450006104	10.399999619	0	1.220000029	0.8389714735327147
	3313.484372482	240.85	11.550000191	0	-1.690000057	0.7939254359108278
	3873.904155534	237.049996948	17.819999695	0	-1.289999962	0.7446608713826346
	4475.652209706	234.749993896	23.059999466	0	0.370000005	0.6893228776286463
	5129.752988833	233.150003052	27.200000763	0	-2.0	0.630949759173938
	5848.130339488	231.749993896	32.599998474	0	-5.199999809	0.5712828194929738
	6647.135041427	230.549996948	38.799999237	0	-7.099999905	0.5104164230159425
	7547.339478417	228.950006104	42.5	0	-9.199999809	0.44971176838267807
	8582.825296359	228.450006104	42.900001526	0	-9.399999619	0.3862287210855024
	9796.657357134	225.749993896	44.700000763	0	-5.800000191	0.3257378112597506
	10495.413769647	225.450006104	44.700000763	0	-3.299999952	0.29348488858723987
	11275.0084174	224.85	44.400001526	0	-1.399999976	0.2615022834033843
	12157.334495425	224.85	45.0	0	-1.600000024	0.2287571743578753
	13168.663080501	221.549996948	47.0	0	-1.600000024	0.19893314767232165
	14352.640951837	220.450006104	48.400001526	0	0.49000001	0.1665508869332975
	15803.42213865	221.249993896	43.229999542	0	1.899999976	0.13265124056041297
	18131.083267562	222.249993896	30.899999619	0	5.079999924	0.09232851760782149
	20327.803559773	220.35	23.379999161	0	1.200000048	0.06638833307230192
	23641.283775938	221.450006104	14.300000191	0	13.399999619	0.0396130806777399
	26290.938461472	220.549996948	5.900000095	0	7.900000095	0.026429624230322857
	30856.856551044	226.049996948	-2.799999952	0	15.5	0.01284189349821159
	33249.909819871	227.85	-5.699999809	0	14.699999809	0.008893228144474052
	35538.874610588	232.249993896	-2.200000048	0	11.800000191	0.006214780421387066
	39105.817026739	239.749993896	-2.5	0	15.899999619	0.0035959420879248466
	42034.604168203	247.35	-2.0	0	13.100000381	0.0023130471124796492
	47240.459959191	257.749993896	1.399999976	0	14.399999619	0.001099077229990434
