110.011306632 -7.049993896
264.069111349 -8.145181593
266.069111349 -8.145181593
306.945573615 -8.449987793
507.887561303 -10.049993896
712.892871674 -11.549993896
922.303786932 -13.049993896
1136.294057244 -14.750006104
1354.972315794 -16.549993896
1578.794097292 -18.049993896
1808.126170113 -19.549993896
2043.231242578 -21.250006104
2284.271839122 -23.250006104
2784.999853527 -27.549993896
3313.484372482 -32.150000000
3873.904155534 -35.950003052
4475.652209706 -38.250006104
5129.752988833 -39.849996948
5848.130339488 -41.250006104
6647.135041427 -42.450003052
7547.339478417 -44.049993896
8582.825296359 -44.549993896
9796.657357134 -47.250006104
10495.413769647 -47.549993896
11275.008417400 -48.150000000
12157.334495425 -48.150000000
13168.663080501 -51.450003052
14352.640951837 -52.549993896
15803.422138650 -51.750006104
18131.083267562 -50.750006104
20327.803559773 -52.650000000
23641.283775938 -51.549993896
26290.938461472 -52.450003052
30856.856551044 -46.950003052
33249.909819871 -45.150000000
35538.874610588 -40.750006104
39105.817026739 -33.250006104
42034.604168203 -25.650000000
47240.459959191 -15.250006104
